date,value
5-12-2014,290.996
6-12-2014,299.281
7-12-2014,288.892
8-12-2014,275.964
9-12-2014,284.147
10-12-2014,274.643
11-12-2014,287.308
12-12-2014,284.171
13-12-2014,291.934
14-12-2014,287.268
15-12-2014,283.63
16-12-2014,282.139
17-12-2014,275.64
18-12-2014,276.033
19-12-2014,281.717
20-12-2014,278.991
21-12-2014,276.164
22-12-2014,272.482
23-12-2014,278.487
24-12-2014,278.44
25-12-2014,309.357
26-12-2014,311.124
27-12-2014,310.79
28-12-2014,308.519
29-12-2014,304.957
30-12-2014,308.015
31-12-2014,305.283
1-1-2015,295.453
2-1-2015,298.451
3-1-2015,304.648
4-1-2015,304.128
5-1-2015,304.987
6-1-2015,313.879
7-1-2015,322.407
8-1-2015,316.614
9-1-2015,311.854
10-1-2015,321.117
11-1-2015,310.933
12-1-2015,311.959
13-1-2015,320.414
14-1-2015,318.927
15-1-2015,322.44
16-1-2015,313.463
17-1-2015,309.603
18-1-2015,306.782
19-1-2015,304.048
20-1-2015,311.115
21-1-2015,309.208
22-1-2015,311.026
23-1-2015,312.918
24-1-2015,323.816
25-1-2015,305.65
26-1-2015,295.196
27-1-2015,298.992
28-1-2015,304.88
29-1-2015,299.433
30-1-2015,303.517
31-1-2015,310.533
1-2-2015,299.282
2-2-2015,298.011
3-2-2015,301.978
4-2-2015,303.24
5-2-2015,298.439
6-2-2015,292.898
7-2-2015,304.859
8-2-2015,287.632
9-2-2015,295.016
10-2-2015,296.763
11-2-2015,294.167
12-2-2015,290.635
13-2-2015,293.853
14-2-2015,301.493
15-2-2015,292.307
16-2-2015,292.727
17-2-2015,288.186
18-2-2015,290.672
19-2-2015,292.252
20-2-2015,287.946
21-2-2015,290.785
22-2-2015,292.176
23-2-2015,291.345
24-2-2015,292.209
25-2-2015,296.728
26-2-2015,297.188
27-2-2015,287.972
28-2-2015,295.53
1-3-2015,290.035
2-3-2015,292.822
3-3-2015,295.498
4-3-2015,299.091
5-3-2015,292.533
6-3-2015,291.106
7-3-2015,290.117
8-3-2015,285.634
9-3-2015,284.477
10-3-2015,282.684
11-3-2015,283.636
12-3-2015,285.68
13-3-2015,284.241
14-3-2015,281.782
15-3-2015,274.169
16-3-2015,269.175
17-3-2015,282.638
18-3-2015,287.388
19-3-2015,288.502
20-3-2015,289.377
21-3-2015,291.649
22-3-2015,289.766
23-3-2015,290.483
24-3-2015,291.285
25-3-2015,295.77
26-3-2015,293.091
27-3-2015,295.525
28-3-2015,294.656
29-3-2015,282.903
30-3-2015,285.985
31-3-2015,287.448
1-4-2015,283.206
2-4-2015,293.361
3-4-2015,300.461
4-4-2015,294.749
5-4-2015,297.719
6-4-2015,297.805
7-4-2015,307.224
8-4-2015,303.2
9-4-2015,305.311
10-4-2015,310.448
11-4-2015,303.252
12-4-2015,293.386
13-4-2015,287.991
14-4-2015,281.1
15-4-2015,275.532
16-4-2015,252.143
17-4-2015,245.572
18-4-2015,241.967
19-4-2015,237.154
20-4-2015,229.744
21-4-2015,225.205
22-4-2015,224.532
23-4-2015,225.524
24-4-2015,223.716
25-4-2015,225.228
26-4-2015,219.127
27-4-2015,216.073
28-4-2015,217.564
29-4-2015,218.643
30-4-2015,222.837
1-5-2015,201.642
2-5-2015,217.457
3-5-2015,210.528
4-5-2015,207.366
5-5-2015,209.798
6-5-2015,212.362
7-5-2015,212.804
8-5-2015,208.461
9-5-2015,211.155
10-5-2015,204.412
11-5-2015,204.067
12-5-2015,209.132
13-5-2015,209.675
14-5-2015,207.217
15-5-2015,208.718
16-5-2015,210.427
17-5-2015,204.182
18-5-2015,206.9
19-5-2015,207.585
20-5-2015,204.77
21-5-2015,205.304
22-5-2015,205.447
23-5-2015,205.795
24-5-2015,200.569
25-5-2015,199.178
26-5-2015,198.189
27-5-2015,157.432
28-5-2015,170.535
29-5-2015,178.342
30-5-2015,185.013
31-5-2015,183.877
1-6-2015,189.554
2-6-2015,190.627
3-6-2015,187.187
4-6-2015,183.195
5-6-2015,174.959
6-6-2015,176.474
7-6-2015,175.904
8-6-2015,177.758
9-6-2015,183.713
10-6-2015,179.887
11-6-2015,172.953
12-6-2015,162.26
13-6-2015,161.107
14-6-2015,154.191
15-6-2015,152.761
16-6-2015,152.825
17-6-2015,150.668
18-6-2015,153.84
19-6-2015,154.362
20-6-2015,153.302
21-6-2015,146.153
22-6-2015,148.219
23-6-2015,157.787
24-6-2015,168.07
25-6-2015,170.513
26-6-2015,172.464
27-6-2015,173.18
28-6-2015,172.399
29-6-2015,172.088
30-6-2015,173.71
1-7-2015,174.648
2-7-2015,176.084
3-7-2015,176.803
4-7-2015,176.761
5-7-2015,174.234
6-7-2015,174.497
7-7-2015,177.363
8-7-2015,177.204
9-7-2015,178.679
10-7-2015,183.763
11-7-2015,178.016
12-7-2015,176.614
13-7-2015,175.343
14-7-2015,175.908
15-7-2015,175.406
16-7-2015,176.809
17-7-2015,177.63
18-7-2015,177.787
19-7-2015,174.058
20-7-2015,177.727
21-7-2015,178.585
22-7-2015,182.414
23-7-2015,178.582
24-7-2015,178.578
25-7-2015,181.324
26-7-2015,179.999
27-7-2015,180.878
28-7-2015,180.278
29-7-2015,178.891
30-7-2015,173.381
31-7-2015,179.238
1-8-2015,177.121
2-8-2015,174.466
3-8-2015,175.915
4-8-2015,177.115
5-8-2015,177.154
6-8-2015,176.898
7-8-2015,175.332
8-8-2015,174.52
9-8-2015,174.17
10-8-2015,176.711
11-8-2015,178.616
12-8-2015,175.438
13-8-2015,175.722
14-8-2015,172.898
15-8-2015,160.103
16-8-2015,162.429
17-8-2015,166.257
18-8-2015,168.597
19-8-2015,170.196
20-8-2015,170.627
21-8-2015,169.958
22-8-2015,175.931
23-8-2015,163.222
24-8-2015,167.792
25-8-2015,181.106
26-8-2015,189.169
27-8-2015,193.649
28-8-2015,197.459
29-8-2015,196.649
30-8-2015,195.908
31-8-2015,197.89
1-9-2015,206.21
2-9-2015,203.476
3-9-2015,198.441
4-9-2015,200.646
5-9-2015,200.438
6-9-2015,198.475
7-9-2015,196.909
8-9-2015,198.97
9-9-2015,203.994
10-9-2015,204.108
11-9-2015,201.959
12-9-2015,205.201
13-9-2015,200.749
14-9-2015,200.325
15-9-2015,204.148
16-9-2015,203.525
17-9-2015,205.678
18-9-2015,211.013
19-9-2015,214.347
20-9-2015,213.146
21-9-2015,205.662
22-9-2015,204.791
23-9-2015,205.464
24-9-2015,203.581
25-9-2015,202.562
26-9-2015,205.393
27-9-2015,203.325
28-9-2015,200.743
29-9-2015,199.383
30-9-2015,196.364
1-10-2015,198.998
2-10-2015,202.269
3-10-2015,201.45
4-10-2015,198.48
5-10-2015,198.37
6-10-2015,201.201
7-10-2015,203.941
8-10-2015,201.147
9-10-2015,204.141
10-10-2015,205.218
